Programmname	Beschreibung	Typ	Hersteller	Gruppe Anwendungsfall	Dateitypen	Link
AdinRec	Audio	Programm			wav	
DevCon	Gerätemanager	Programm	Microsoft			
Enhancer	Audio	Programm			mp3, ogg	
Exiv2	Bilder	Programm			jpeg	
Fciv	Prüfsummen	Programm			*	
Gzip	Komprimierung	Programm			zip	
SQLite3	Datenbank	Programm	SQLite			
Qemu	System Emulator	Programm			img, bin	
WSusOffline	Windows Updates (Paket)	Programm				
PDFTK	PDF Toolkit	Programm				
Nuget	Versionierung	Programm	NuGet			
Git	Versionierung 	Programm	Git			
SVN	Versionierung 	Programm	SVN			
neolog	Logging	Programm				
nginx	Webserver	Programm	Nginx		html	
sox	Sound Tool	Programm			mp3, ogg	
wavpack	Sound Tool	Programm			wav	
Tesseract	Texterkennung	Programm	Tesseract		jpg	
IsoInfo	Informationen über ISO Images	Programm			iso	
						
Mod_Key	Überwacht Systemereignisse	Deamon	NBHCREW			
Mod_Apache	Webserver	Deamon	NBHCREW			
Mod_T4e	Lieder auf Techno4Ever	Deamon	NBHCREW			
Mod_Serial	Serielle Kommunikation	Deamon	NBHCREW			
Mod_Faststart	Dateiindizierung	Deamon	NBHCREW			
Mod_Sprachausgabe2	Sprachausgabe über Google	Deamon	NBHCREW			
Mod_Wingui	Bedieninterface	Deamon	NBHCREW			
Mod_Webserver	Webserver	Deamon	NBHCREW			
Mod_SSH	Secure Shell	Deamon	NBHCREW			
Mod_Tinkerforge	Kommuniziert mit Tinkerforge	Deamon	NBHCREW			
Mod_Notices	Notizzettel	Programm	NBHCREW			
Mod_Messages	Nachrichtenausgabe	Programm	NBHCREW			
Mod_Sprachausgabe	Sprachausgabe über Google	Programm	NBHCREW			
Mod_Spracherkennung	Spracherkennung über Google	Programm	NBHCREW			
Mod_Spracherkennung2	Spracherkennung über WinSapi	Programm	NBHCREW			
Mod_Spracherkennung3	Spracherkennung über CMU Sphinx	Programm	NBHCREW			
Wget2	Netzwerkanfragen	Programm	NBHCREW			
Mod_Show	Webbrowser	Programm	NBHCREW			
GoogleMail	Mails	Programm	NBHCREW			
Mod_RSS	Rss-Feeds	Programm	NBHCREW			
Mod_Twitter	Twitter Nachrichten	Programm	NBHCREW			
Mod_Facebook	Facebook Nachrichten	Programm	NBHCREW			
Mod_TV	Tv-Programm	Programm	NBHCREW			
Mod_Wetter	Wetterdaten	Programm	NBHCREW			
Mod_YesNo	Benutzereingabe	Programm	NBHCREW			
Mod_SPDNS	Updated die IP über SPDNS	Programm	NBHCREW			
						
Mod_Events	Überwacht Systemereignisse	VB-Script	NBHCREW			
Piep	Gibt ein Piepen aus 	VB-Script	NBHCREW			
Input	Benutzereingabe	VB-Script	NBHCREW			
JaNein	Benutzereingabe	VB-Script	NBHCREW			
						
Studierstube	Audio, Video, Augemented Reality	Programmpaket			avi, mpeg, mpg, mp3, mp2, ogg	
Tex	Dokumente	Programmpaket	MikTex		Tex	
Gimp	Grafik	Programmpaket	Gimp			
ImageMagick	Grafik					
Metasploit	Pentest Programme	Programmpaket				
GNU CoreUtils	Unix-Tools für Windows	Programmpaket	GNU			Link
UNXUtils	Unix-Tools für Windows 2	Programmpaket	GNU			Link
						
Wireshark	Netzwerkmitschnitt (CMD-Interface)	Programm(GUI)			dmp	
VLC	Media Player (Mit Kommandozeilenparametern)	Programm(GUI)			avi, mpeg, mpg, mp3, mp2, ogg	Link
Scintilla	Texteditor 	Programm(GUI)				
						
Google.de	Websuche, Sprache, Informationen	Website(REST)				
WolframAlpha	Informationen	Website(REST)				
Youtube.com	Videos	Website(Parse)				
TVToday.de	Fernsehprogramme	Website(Parse)				
Twitter	Nachrichten	Website(REST)				
Facebook	Nachrichten	Website(REST)				
						
Jdownloader	Downloader	Webinterface(Get)	Jdownloader			
VLC	MediaPlayer	Webinterface(Get)	VLC			
FHEM	Heimautomatisierung	Webinterface(Get)	FHEM			
TVHeadend	TV-Streaming	Webinterface(Get)	LonelyCoder			
XBMC	Mediacenter	Webinterface(Json)	XBMC			
Motion	Kameraaktionen	Webinterface(Get)	Motion			
						
Lua	Programmiersprache	Library			lua	
Log4Net	Logger	Library				
FireBall	Code-Editor	Library			html, xml, txt, csv	
Gecko16	Webbrowser	Library			html, js, mml, xml, jpg, gif	
Json	Json Verarbeitung	Library			json	
HTML AgilityPack	HTML Verarbeitung	Library			html	
PDFSharp	Pdf Verarbeitung	Library			pdf	
Ionic Zip	Zip	Library			zip	
ZedGraph	Kennlinien, Graphen	Library				
SQLite	Datenbank	Library				
OpenJDK	Java in .Net	Library			jar	
Saxon	XML-Interpreter	Library			xml	
Interop.Excel	Excel Interoperabilität	Library			xls	
Interop.VBA	VBA Interoperabilität	Library			vba	
AutoITX	Automatisierung	Library			au	
Ncalc	Mathematische Ausdrücke	Library				
						
MathJax	Darstellung von MathMl	Webservice			mml	
Blockly	Grafische Programmierumgebung	Webservice				
Dojo	Grafische Darstellung 	JavaScript-Bibliothek				
Jquery	Grafische Darstellung 	JavaScript-Bibliothek				
						
agrep			Unix4Windows			
ansi2knr			Unix4Windows			
basename			Unix4Windows			
bc			Unix4Windows			
bison			Unix4Windows			
bunzip2	Komprimierung		Unix4Windows			
bzip2	Komprimierung		Unix4Windows			
bzip2recover	Komprimierung		Unix4Windows			
cat	Texte		Unix4Windows			
chgrp			Unix4Windows			
chmod			Unix4Windows			
chown	Besitzer ändern		Unix4Windows			
cksum	Prüfsummen		Unix4Windows			
cmp			Unix4Windows			
comm			Unix4Windows			
compress	Komprimierung		Unix4Windows			
cp	Dateisystem		Unix4Windows			
csplit			Unix4Windows			
cut			Unix4Windows			
date			Unix4Windows			
dc			Unix4Windows			
dd	Dateisystem		Unix4Windows			
df	Dateisystem		Unix4Windows			
diff	Texte		Unix4Windows			
diff3	Texte		Unix4Windows			
dircolors			Unix4Windows			
dirname			Unix4Windows			
du	Dateisystem		Unix4Windows			
echo			Unix4Windows			
egrep			Unix4Windows			
env			Unix4Windows			
expand			Unix4Windows			
expr			Unix4Windows			
factor			Unix4Windows			
fgrep			Unix4Windows			
find	Dateisystem		Unix4Windows			
flex			Unix4Windows			
fmt			Unix4Windows			
fold			Unix4Windows			
fsplit			Unix4Windows			
gawk			Unix4Windows			
gclip			Unix4Windows			
gplay			Unix4Windows			
grep			Unix4Windows			
gsar			Unix4Windows			
gunzip	Komprimierung		Unix4Windows			
gzip	Komprimierung		Unix4Windows			
head			Unix4Windows			
id			Unix4Windows			
indent			Unix4Windows			
install			Unix4Windows			
join			Unix4Windows			
jwhois			Unix4Windows			
less			Unix4Windows			
lesskey			Unix4Windows			
libfl			Unix4Windows			
ln			Unix4Windows			
logname			Unix4Windows			
ls			Unix4Windows			
m4			Unix4Windows			
make			Unix4Windows			
makedepend			Unix4Windows			
makemsg			Unix4Windows			
man			Unix4Windows			
